Securities Info - Securities,,,,,,,,,,,,,,,,,,,,,
As of 09/10/2025
Security No,ISIN ,Name (Hebrew),Name (English),Symbol (Hebrew),Symbol (English),Type of Security (Hebrew),Type of Security (English),Company Supersector (Hebrew),Company Supersector (English),Company Sector (Hebrew),Company Sector (English),Company Subsector (Hebrew),Company Subsector (English),Index Membership (Hebrew),Index Membership (English),Corporate No.,Issuer No.,Issuer Name (Hebrew),Issuer Name (English),Incorporation (Hebrew),Incorporation (English)
1211606,IL0012116062,דמרי אגח יא,DIMRI B11,דמרי.ק11,DIR.B11,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"מדד תל בונד שקלי ,תל בונד-שקלי 3-5 ,תל בונד-מאגר ,תל בונד-לא צמודות ,תל בונד-שקלי A ,All-Bond כללי ,All-Bond שקלי","Tel Bond Shekel Index ,Tel Bond-Shekel 3-5 ,Tel Bond-Composite ,Tel Bond-Non Linked ,Tel Bond-Shekel A ,All-Bond Composite ,All-Bond Shekel",511399388,1193,דמרי,DIMRI,ישראל,Israel
1173491,IL0011734915,דיפלומט אחזקות,DIPLOMAT HOLDI.,דיפל,DIPL,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,מסחר,Commerce,"ת''א-SME60 ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א-פמילי","TA-SME60 ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA-Family",510400740,1867,דיפלומט,DIPLOMAT HOLDI.,ישראל,Israel
1171214,IL0011712143,מימון ישיר אגחג,DIRECT FINAN B3,מישק.ק3,DIFI.B3,אג''ח קונצרני,Corporate bond,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,,,513893123,1675,מימון ישיר קב,DIRECT FINANCE,ישראל,Israel
1175660,IL0011756603,מימון ישיר אגחד,DIRECT FINAN B4,מישק.ק4,DIFI.B4,אג''ח קונצרני,Corporate bond,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,,,513893123,1675,מימון ישיר קב,DIRECT FINANCE,ישראל,Israel
1182831,IL0011828311,מימון ישיר אגחה,DIRECT FINAN B5,מישק.ק5,DIFI.B5,אג''ח קונצרני,Corporate bond,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,"מדד תל בונד 40 ,מדד תל בונד 60 ,תל בונד-צמודות 0-3 ,תל בונד צמודות ,תל בונד-מאגר ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond 40 Index ,Tel Bond 60 Index ,Tel Bond-CPI Linked 0-3 ,Tel Bond-CPI Linked ,Tel Bond-Composite ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",513893123,1675,מימון ישיר קב,DIRECT FINANCE,ישראל,Israel
1191659,IL0011916595,מימון ישיר אגחו,DIRECT FINAN B6,מישק.ק6,DIFI.B6,אג''ח קונצרני,Corporate bond,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,"תל בונד-צמודות 0-3 ,תל בונד צמודות ,תל בונד צמודות-יתר ,תל בונד-מאגר ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked 0-3 ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Composite ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",513893123,1675,מימון ישיר קב,DIRECT FINANCE,ישראל,Israel
1220128,IL0012201286,מימון ישיר אגחז,DIRECT FINAN B7,מישק.ק7,DIFI.B7,אג''ח קונצרני,Corporate bond,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,"תל בונד צמודות ,תל בונד צמודות-יתר ,תל בונד-צמודות 5-15 ,תל בונד-מאגר ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked ,Tel Bond-CPI Linked SmallCap ,Tel Bond-CPI Linked 5-15 ,Tel Bond-Composite ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",513893123,1675,מימון ישיר קב,DIRECT FINANCE,ישראל,Israel
1168186,IL0011681868,מימון ישיר,DIRECT FINANCE,מישק,DIFI,מניה רגילה,Ordinary Share,פיננסי,Finance,שרותים פיננסיים,Financial Services,אשראי חוץ בנקאי,Non Banking Credit,"ת''א-90 ,ת''א-125 ,מדד ת''א-פיננסים ,מדד תל-דיב ,ת''א All-Share ,ת''א ביטוח-פלוס ,ת''א-רימון ,ת''א-SME150 ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-Finance Index ,Tel-Div Index ,TA-AllShare ,TA Insurance-Plus ,TA-Rimon ,TA-SME150 ,TA-125 Fossil Free",513893123,1675,מימון ישיר קב,DIRECT FINANCE,ישראל,Israel
7480163,IL0074801635,דיסק מנ  אגח יד,DISCONT MAN B14,דסקמ.ק14,DSMN.B14,אג''ח קונצרני,Corporate bond,פיננסי,Finance,בנקים,Banks,בנקים,Banks,,,520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
7480304,IL0074803045,דיסק מנ אגח טו,DISCONT MAN B15,דסקמ.ק15,DSMN.B15,אג''ח קונצרני,Corporate bond,פיננסי,Finance,בנקים,Banks,בנקים,Banks,"מדד תל - בונד 20 ,מדד תל בונד 60 ,תל בונד צמודות ,תל בונד-צמודות 3-5 ,תל בונד צמודות-בנקים ,תל בונד-מאגר ,תל בונד-צמודות מעלה ,תל בונד-צמודות AA-AAA ,All-Bond כללי ,All-Bond צמודות","Tel-Bond 20 Index ,Tel Bond 60 Index ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked 3-5 ,Tel Bond-CPI Linked Bank ,Tel Bond-Composite ,Tel Bond-CPI Linked MaalaSRI ,Tel Bond-CPI Linked AA-AAA ,All-Bond Composite ,All-Bond CPI-Linked",520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
1203157,IL0012031576,דיסק מנ אגח  טז,DISCONT MAN B16,דסקמ.ק16,DSMN.B16,אג''ח קונצרני,Corporate bond,פיננסי,Finance,בנקים,Banks,בנקים,Banks,"מדד תל - בונד 20 ,מדד תל בונד 60 ,תל בונד צמודות ,תל בונד-צמודות 5-15 ,תל בונד צמודות-בנקים ,תל בונד-מאגר ,תל בונד-צמודות מעלה ,תל בונד-צמודות AA-AAA ,All-Bond כללי ,All-Bond צמודות","Tel-Bond 20 Index ,Tel Bond 60 Index ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked 5-15 ,Tel Bond-CPI Linked Bank ,Tel Bond-Composite ,Tel Bond-CPI Linked MaalaSRI ,Tel Bond-CPI Linked AA-AAA ,All-Bond Composite ,All-Bond CPI-Linked",520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
1215953,IL0012159534,דיסק מנ אגח  יז,DISCONT MAN B17,דסקמ.ק17,DSMN.B17,אג''ח קונצרני,Corporate bond,פיננסי,Finance,בנקים,Banks,בנקים,Banks,"מדד תל בונד 40 ,מדד תל בונד 60 ,תל בונד צמודות ,תל בונד-צמודות 5-15 ,תל בונד צמודות-בנקים ,תל בונד-מאגר ,תל בונד-צמודות מעלה ,תל בונד-צמודות AA-AAA ,All-Bond כללי ,All-Bond צמודות","Tel Bond 40 Index ,Tel Bond 60 Index ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked 5-15 ,Tel Bond-CPI Linked Bank ,Tel Bond-Composite ,Tel Bond-CPI Linked MaalaSRI ,Tel Bond-CPI Linked AA-AAA ,All-Bond Composite ,All-Bond CPI-Linked",520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
1191246,IL0011912461,דיסקונט מנ נד ט,DISCOONT MAN B9,דסקנ.ק9,DSN.B9,אגח הוני ניתן למחיקה,Equity Bond to be Deleted,פיננסי,Finance,בנקים,Banks,בנקים,Banks,"תל בונד צמודות ,תל בונד-צמודות 3-5 ,תל בונד צמודות-יתר ,תל בונד-מאגר ,תל בונד-צמודות מעלה ,תל בונד-צמודות AA-AAA ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked ,Tel Bond-CPI Linked 3-5 ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Composite ,Tel Bond-CPI Linked MaalaSRI ,Tel Bond-CPI Linked AA-AAA ,All-Bond Composite ,All-Bond CPI-Linked",520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
691212,IL0006912120,דיסקונט       א,DISCOUNT,דסקנט,DSCT,מניה רגילה,Ordinary Share,פיננסי,Finance,בנקים,Banks,בנקים,Banks,"ת''א-35 ,ת''א-125 ,מדד ת''א-פיננסים ,מדד ת''א-מעלה ,ת''א בנקים-5 ,מדד תל-דיב ,ת''א All-Share ,ת''א-רימון ,ת''א סקטור-באלאנס ,ת''א-125 אקלים נקי","TA-35 ,TA-125 ,TA-Finance Index ,TA-Maala Index ,TA-Banks5 ,Tel-Div Index ,TA-AllShare ,TA-Rimon ,TA Sector-Balance ,TA-125 Fossil Free",520007030,691,דיסקונט,DISCOUNT BANK,ישראל,Israel
6390348,IL0063903483,דיסק השק  אגח י,DISCOUNT IN B10,דסקש.ק10,DISI.B10,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,"תל בונד-מאגר ,תל בונד-תשואות שקלי ,All-Bond כללי ,All-Bond שקלי","Tel Bond-Composite ,Tel Bond-Yields Shekel ,All-Bond Composite ,All-Bond Shekel",520023896,639,דיסקונט השקעות,DISCOUNT INV.,ישראל,Israel
6390405,IL0063904051,דיסק השק אגח יא,DISCOUNT IN B11,דסקש.ק11,DISI.B11,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,"תל בונד-מאגר ,תל בונד-תשואות שקלי ,All-Bond כללי ,All-Bond שקלי","Tel Bond-Composite ,Tel Bond-Yields Shekel ,All-Bond Composite ,All-Bond Shekel",520023896,639,דיסקונט השקעות,DISCOUNT INV.,ישראל,Israel
639013,IL0006390137,דיסקונט השקעות,DISCOUNT INV,דסקש,DISI,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון ,ת''א-מניב ישראל","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Rimon ,TA-Investment Properties in Israel",520023896,639,דיסקונט השקעות,DISCOUNT INV.,ישראל,Israel
6390207,IL0063902071,דיסק השק  אגח ו,DISCOUNT INV B6,דסקש.ק6,DISI.B6,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,,,520023896,639,דיסקונט השקעות,DISCOUNT INV.,ישראל,Israel
7480197,IL0074801973,דיסקונט מנ נד ו,DISCOUNT MAN B6,דסקמנ.ק6,DSMN.B6,אגח הוני ניתן למחיקה,Equity Bond to be Deleted,פיננסי,Finance,בנקים,Banks,בנקים,Banks,,,520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
7480247,IL0074802476,דיסקונט מנ נד ז,DISCOUNT MAN B7,דסקמנ.ק7,DSMN.B7,אגח הוני ניתן למחיקה,Equity Bond to be Deleted,פיננסי,Finance,בנקים,Banks,בנקים,Banks,,,520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
7480312,IL0074803128,דיסקונט מנ נד ח,DISCOUNT MAN B8,דסקמנ.ק8,DSMN.B8,אגח הוני ניתן למחיקה,Equity Bond to be Deleted,פיננסי,Finance,בנקים,Banks,בנקים,Banks,"תל בונד-צמודות 0-3 ,תל בונד צמודות ,תל בונד צמודות-יתר ,תל בונד-מאגר ,תל בונד-צמודות מעלה ,תל בונד-צמודות AA-AAA ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked 0-3 ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Composite ,Tel Bond-CPI Linked MaalaSRI ,Tel Bond-CPI Linked AA-AAA ,All-Bond Composite ,All-Bond CPI-Linked",520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
1215946,IL0012159468,דיסק מנ מסחרי 5,DISCOUNT MAN P5,דסקמ.נ5,DSMN.P5,ני''ע מסחריים,Commercial Papers,פיננסי,Finance,בנקים,Banks,בנקים,Banks,,,520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
1222025,IL0012220252,דיסק מנ מסחרי 6,DISCOUNT MAN P6,דסקמ.נ6,DSMN.P6,ני''ע מסחריים,Commercial Papers,פיננסי,Finance,בנקים,Banks,בנקים,Banks,,,520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
1211069,IL0012110693,דיסקונט מנ נד י,DISCOUNT MN B10,דסקמ.ק10,DSMN.B10,אגח הוני ניתן למחיקה,Equity Bond to be Deleted,פיננסי,Finance,בנקים,Banks,בנקים,Banks,"מדד תל בונד 40 ,מדד תל בונד 60 ,תל בונד צמודות ,תל בונד-צמודות 5-15 ,תל בונד-מאגר ,תל בונד-צמודות מעלה ,תל בונד-צמודות AA-AAA ,All-Bond כללי ,All-Bond צמודות","Tel Bond 40 Index ,Tel Bond 60 Index ,Tel Bond-CPI Linked ,Tel Bond-CPI Linked 5-15 ,Tel Bond-Composite ,Tel Bond-CPI Linked MaalaSRI ,Tel Bond-CPI Linked AA-AAA ,All-Bond Composite ,All-Bond CPI-Linked",520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
1227750,IL0012277500,דיסקנט מנ נד יא,DISCOUNT MN B11,דסמנ.ק11,DSMN.B11,אגח הוני ניתן למחיקה,Equity Bond to be Deleted,פיננסי,Finance,בנקים,Banks,בנקים,Banks,,,520029935,748,דיסקונט מנפיקים,DISCOUNT MANPIK,ישראל,Israel
1103852,IL0011038523,די.אן.איי קבוצה,DNA GROUP,דאנא,DNA,מניה רגילה,Ordinary Share,ריאלי,Real,השקעה ואחזקות,Investment & Holdings,השקעה ואחזקות,Investment & Holdings,"ת''א-צמיחה ,ת''א All-Share","TA-Growth ,TA-AllShare",513600056,1435,די.אן.איי קבוצה,DNA GROUP,ישראל,Israel
1093202,IL0010932023,דור אלון,DOR ALON,דראל,DRAL,מניה רגילה,Ordinary Share,ריאלי,Real,אנרגיה וחיפושי נפט וגז,Energy And Oil & Gas Exploration,אנרגיה,Energy,"ת''א-צמיחה ,ת''א All-Share ,ת''א-תשתיות אנרגיה","TA-Growth ,TA-AllShare ,TA-Energy Utilities",520043878,1072,דור אלון,DOR ALON,ישראל,Israel
1157700,IL0011577009,דור אלון  אגח ז,DOR ALON     B7,דראל.ק7,DRAL.B7,אג''ח קונצרני,Corporate bond,ריאלי,Real,אנרגיה וחיפושי נפט וגז,Energy And Oil & Gas Exploration,אנרגיה,Energy,"מדד תל בונד שקלי ,תל בונד-שקלי 0-3 ,תל בונד-מאגר ,תל בונד-לא צמודות ,תל בונד-תשואות שקלי ,תל בונד-שקלי A ,All-Bond כללי ,All-Bond שקלי","Tel Bond Shekel Index ,Tel Bond-Shekel 0-3 ,Tel Bond-Composite ,Tel Bond-Non Linked ,Tel Bond-Yields Shekel ,Tel Bond-Shekel A ,All-Bond Composite ,All-Bond Shekel",520043878,1072,דור אלון,DOR ALON,ישראל,Israel
1175199,IL0011751992,דור אלון אגח  ח,DOR ALON     B8,דראל.ק8,DRAL.B8,אג''ח קונצרני,Corporate bond,ריאלי,Real,אנרגיה וחיפושי נפט וגז,Energy And Oil & Gas Exploration,אנרגיה,Energy,"תל בונד צמודות ,תל בונד-צמודות 3-5 ,תל בונד צמודות-יתר ,תל בונד-תשואות ,תל בונד-מאגר ,תל בונד-צמודות A ,All-Bond כללי ,All-Bond צמודות","Tel Bond-CPI Linked ,Tel Bond-CPI Linked 3-5 ,Tel Bond-CPI Linked SmallCap ,Tel Bond-Yields ,Tel Bond-Composite ,Tel Bond-CPI Linked A ,All-Bond Composite ,All-Bond CPI-Linked",520043878,1072,דור אלון,DOR ALON,ישראל,Israel
1166768,IL0011667685,דוראל אנרגיה,DORAL ENERGY,דורל,DORL,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,אנרגיה מתחדשת,Renewable Energy,"ת''א-90 ,ת''א-125 ,מדד ת''א-מעלה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א טק - עילית ,ת''א-רימון ,ת''א-SME150 ,ת''א סקטור-באלאנס ,ת''א-תעשייה ,ת''א-תשתיות אנרגיה ,ת''א-קלינטק ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-Maala Index ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA Tech - Elite ,TA-Rimon ,TA-SME150 ,TA Sector-Balance ,TA-Industrials ,TA-Energy Utilities ,TA-Cleantech ,TA-125 Fossil Free",515364891,1801,דוראל אנרגיה,DORAL ENERGY,ישראל,Israel
1179134,IL0011791345,דוראל     אגח א,DOREL ENERGY B1,דורל.ק1,DORL.B1,אג''ח קונצרני,Corporate bond,הייטק,High-Tech,טכנולוגיה,Technology,אנרגיה מתחדשת,Renewable Energy,,,515364891,1801,דוראל אנרגיה,DORAL ENERGY,ישראל,Israel
1205475,IL0012054750,דוראל     אגח ב,DOREL ENERGY B2,דורל.ק2,DORL.B2,אג''ח קונצרני,Corporate bond,הייטק,High-Tech,טכנולוגיה,Technology,אנרגיה מתחדשת,Renewable Energy,,,515364891,1801,דוראל אנרגיה,DORAL ENERGY,ישראל,Israel
1220193,IL0012201930,דוראל     אגח ג,DOREL ENERGY B3,דורל.ק3,DORL.B3,אג''ח קונצרני,Corporate bond,הייטק,High-Tech,טכנולוגיה,Technology,אנרגיה מתחדשת,Renewable Energy,,,515364891,1801,דוראל אנרגיה,DORAL ENERGY,ישראל,Israel
1178128,IL0011781288,דורסל     אגח ד,DORSEL       B4,דורסל.ק4,DRSL.B4,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,"מדד תל בונד שקלי ,תל בונד-שקלי 0-3 ,תל בונד-מאגר ,תל בונד-לא צמודות ,תל בונד-תשואות שקלי ,תל בונד-שקלי A ,All-Bond כללי ,All-Bond שקלי","Tel Bond Shekel Index ,Tel Bond-Shekel 0-3 ,Tel Bond-Composite ,Tel Bond-Non Linked ,Tel Bond-Yields Shekel ,Tel Bond-Shekel A ,All-Bond Composite ,All-Bond Shekel",512112806,1312,דורסל,DORSEL,ישראל,Israel
1190628,IL0011906281,דורסל החז,DORSEL HOLD,דרסה,DRSH,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,נדל''ן מניב בישראל,Investment-Proerties In Israel,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-רימון ,ת''א-מניב ישראל","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Rimon ,TA-Investment Properties in Israel",516597549,2397,דורסל החזקות,DORSEL HOLD,ישראל,Israel
400010,IL0004000100,דוניץ,DUNIEC,דונץ,DUNI,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-90 ,ת''א-125 ,ת''א-נדל''ן ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א סקטור-באלאנס ,ת''א-בנייה ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-RealEstate ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA Sector-Balance ,TA-Construction ,TA-125 Fossil Free",520038605,400,דוניץ,DUNIEC,ישראל,Israel
1198704,IL0011987042,דוניץ     אגח ב,DUNIEC  B2,דונץ.ק2,DUNI.B2,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,,,520038605,400,דוניץ,DUNIEC,ישראל,Israel
1215896,IL0012158965,דוניץ     אגח ג,DUNIEC B3,דונץ.ק3,DUNI.B3,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"מדד תל בונד שקלי ,תל בונד-שקלי 3-5 ,תל בונד-מאגר ,תל בונד-לא צמודות ,תל בונד-תשואות שקלי ,תל בונד-שקלי A ,All-Bond כללי ,All-Bond שקלי","Tel Bond Shekel Index ,Tel Bond-Shekel 3-5 ,Tel Bond-Composite ,Tel Bond-Non Linked ,Tel Bond-Yields Shekel ,Tel Bond-Shekel A ,All-Bond Composite ,All-Bond Shekel",520038605,400,דוניץ,DUNIEC,ישראל,Israel
382010,IL0003820102,אמת,E&M,אמת,EMCO,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,שרותי מידע,IT Services,"ת''א-צמיחה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א תקשורת וטכנולוגיות מידע ,ת''א טק - עילית","TA-Growth ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA-Communication & InformationTechnology ,TA Tech - Elite",520038514,382,אמת,E&M,ישראל,Israel
1169895,IL0011698953,א.א.א.מ.א-ש,E.E.A.M.I-M,אאאמ-ש,EEAM-M,מניה רגילה,Ordinary Share,ריאלי,Real,השקעה ואחזקות,Investment & Holdings,חברות ללא פעילות ומעטפת,Inactive & Shell Companies,,,514856772,1823,א.א.א.מ.א-ש,E.E.A.M.I-M,ישראל,Israel
1178334,IL0011783342,אקונרג'י,ECONERGY,אקנר,ECNR,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,אנרגיה מתחדשת,Renewable Energy,"ת''א-SME60 ,מדד ת''א-מעלה ,ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א טק - עילית ,ת''א-רימון ,ת''א-SME150 ,ת''א-תשתיות אנרגיה ,ת''א-קלינטק","TA-SME60 ,TA-Maala Index ,TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA Tech - Elite ,TA-Rimon ,TA-SME150 ,TA-Energy Utilities ,TA-Cleantech",516339777,1891,אקונרג'י,ECONERGY,ישראל,Israel
1214428,IL0012144288,אקונרג'י  אגח ב,ECONERGY B2,אקנר.ק2,ECNR.B2,אג''ח קונצרני,Corporate bond,הייטק,High-Tech,טכנולוגיה,Technology,אנרגיה מתחדשת,Renewable Energy,,,516339777,1891,אקונרג'י,ECONERGY,ישראל,Israel
1182518,IL0011825184,אקונרג'י אג א,ECONERGY C1,אקנר.ה1,ECNR.C1,אג''ח להמרה,Convertible,הייטק,High-Tech,טכנולוגיה,Technology,אנרגיה מתחדשת,Renewable Energy,,,516339777,1891,אקונרג'י,ECONERGY,ישראל,Israel
1181437,IL0011814378,אפי קפיטל,EFFI CAP,אפקפ,EFCP,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,"ת''א-נדל''ן ,ת''א-צמיחה ,ת''א All-Share ,ת''א-בנייה","TA-RealEstate ,TA-Growth ,TA-AllShare ,TA-Construction",513948216,1979,אפי קפיטל נדל''ן,EFFI CAP NADLAN,ישראל,Israel
1199744,IL0011997447,אפי קפיטל אגח ג,EFFI CAP B3,אפקפ.ק3,EFCP.B3,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,,,513948216,1979,אפי קפיטל נדל''ן,EFFI CAP NADLAN,ישראל,Israel
1212489,IL0012124892,אפי קפיטל אגח ד,EFFI CAP B4,אפקפ.ק4,EFCP.B4,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,,,513948216,1979,אפי קפיטל נדל''ן,EFFI CAP NADLAN,ישראל,Israel
1217421,IL0012174210,אפי קפיטל אגח ה,EFFI CAP B5,אפקפ.ק5,EFFI.B5,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,,,513948216,1979,אפי קפיטל נדל''ן,EFFI CAP NADLAN,ישראל,Israel
1204213,IL0012042136,אפי קפיטל  אפ 1,EFFI CAP W1,אפקפ.א1,EFCP.W1,אופציה למניה,Warrant for share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,,,513948216,1979,אפי קפיטל נדל''ן,EFFI CAP NADLAN,ישראל,Israel
1087824,IL0010878242,אל על,EL AL,אלעל,ELAL,מניה רגילה,Ordinary Share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,"ת''א-90 ,ת''א-125 ,מדד ת''א-מעלה ,ת''א All-Share ,ת''א-רימון ,ת''א-SME150 ,ת''א סקטור-באלאנס ,ת''א-125 אקלים נקי","TA-90 ,TA-125 ,TA-Maala Index ,TA-AllShare ,TA-Rimon ,TA-SME150 ,TA Sector-Balance ,TA-125 Fossil Free",520017146,1152,אל על,EL AL,ישראל,Israel
1205467,IL0012054677,אל על      אפ 3,EL AL W3,אלעל.א3,ELAL.W3,אופציה למניה,Warrant for share,ריאלי,Real,מסחר ושרותים,Commerce & Services,שרותים,Services,,,520017146,1152,אל על,EL AL,ישראל,Israel
1217702,IL0012177023,אלעד תוכנה,ELAD SOFTWARE,אלעד,ELAD,מניה רגילה,Ordinary Share,הייטק,High-Tech,טכנולוגיה,Technology,שרותי מידע,IT Services,"ת''א גלובל-בלוטק ,ת''א All-Share ,מדד ת''א-טכנולוגיה ,ת''א תקשורת וטכנולוגיות מידע ,ת''א טק - עילית","TA Global-BlueTech ,TA-AllShare ,TA-Technology Index ,TA-Communication & InformationTechnology ,TA Tech - Elite",510929177,2463,אלעד,ELAD,ישראל,Israel
1081116,IL0010811169,אלביט הדמיה,ELBIT IMAGING,אלבהד,EMITF,מניה רגילה,Ordinary Share,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,,,520043035,1039,אלביט הדמיה,ELBIT IMAGING,ישראל,Israel
1226968,IL0012269689,אלביט הד  אגח י,ELBIT IMG B10,אלהד.ק10,EMIT.B10,אג''ח קונצרני,Corporate bond,ריאלי,Real,נדל''ן ובנייה,Real-Estate & Construction,בנייה,Construction,,,520043035,1039,אלביט הדמיה,ELBIT IMAGING,ישראל,Israel
474015,IL0004740150,אלביט מדקל טכ-ש,ELBIT MEDITEC-M,אלמדט-ש,EMTC-M,מניה רגילה,Ordinary Share,ריאלי,Real,השקעה ואחזקות,Investment & Holdings,חברות ללא פעילות ומעטפת,Inactive & Shell Companies,,,520039645,474,אלביט טכנ-ש,ELBIT TECH-M,ישראל,Israel
